                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         1                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                 3                 0        348                                                                        
                                       12                 3                 0        348                                                                        
                                       12                 3                 0        348                                                                        
                                       12                 3                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                       12                35                 0        348                                                                        
                                        0                 0                 0        045                                                                        
                                        0                 0                 0        502                                                                        
                                        0                 0                 0        502                                                                        
                                        0                 0                 0        046                                                                        
                                        0                 0                88        215                                                                        
                                        0                 0                88        215                                                                        
                                        0                 0                88        215                                                                        
                                        0                 0                 0        215                                                                        
                                        0                 0                 0        215                                                                        
                                        0                 0                 0        215                                                                        
                                        0                 0                88        215                                                                        
                                       12                35                 0        348                                                                        
                                        6                31             25417        621                                                                        
                                        0                 0                 0        046                                                                        
                                        0                 0                 0        046                                                                        
                                        0                 0                 0        046                                                                        
                                        0                 0                 0        187                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         2                            
