                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         1                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4025         CPK            64     CARTAO                                                                                                         
              4025         0115           64     PARCELADO EMISS.CT.CRED.BRAD.EMPRESARIA                                                                        
              4025         0312           64     CARTAO BNDES                                                                                                   
              4025         0399           64     CARTAO BNDES                                                                                                   
              4025         0401           64     GASTOS CARTAO COMPRA A VISTA                                                                                   
              4025         0404           64     CARTAO BRADESCO - DEB. RENEG.                                                                                  
              4025         0426           64     TELECOMPRAS PRE-DATADAS                                                                                        
              4025         0435           73     CREDTCCRE CR ATRSO-CART CRED ORIGEM B2K                                                                        
              4025         0443           64     CARTAO PROTEGIDO/SUPER PROTEGIDO                                                                               
              4025         0466           64     C.A. - CARTAO PRIVATE LABEL                                                                                    
              4025         0474           72     ATRCCRE ATRASO ANUIDADE C.CREDITO - B2K                                                                        
              4025         0585           25     MESALIDADE VISA EMPRESARIAL                                                                                    
              4025         0611           64     CARTAO PLATIUM                                                                                                 
              4025         0627           64     CARTAO BRADESCO                                                                                                
              4120         A               3     DDS                                                                                                            
              4120         B               3     DDS                                                                                                            
              4120         BBZ            65     SALDO POS VENDA VEICULOS                                                                                       
              4120         C              42     DESCONTO DE CHEQUES                                                                                            
              4120         CGA            12     CONTA GARANTIDA                                                                                                
              4120         CGC            12     CONTA GARANTIDA                                                                                                
              4120         CGP            12     CONTA GARANTIDA                                                                                                
              4120         CGT            12     CONTA GARANTIDA                                                                                                
              4120         CGV            12     CONTA GARANTIDA                                                                                                
              4120         CHE            93     DESC.C/CORRENTE                                                                                                
              4120         COM             5     RURAL                                                                                                          
              4120         CST             5     RURAL                                                                                                          
              4120         D               6     EMPRESTIMOS COM GARANTIA DE ORPAG                                                                              
              4120         DCC            93     DESC.C/CORRENTE                                                                                                
              4120         DIV            99     DIVERSAS                                                                                                       
              4120         DRA             5     EMPR RURAIS                                                                                                    
              4120         DRC             5     EMPR RURAIS                                                                                                    
